title,tagline
The End,Are there laughs before death?
Harley Davidson and the Marlboro Man,When the going gets tough... the tough take the law into their own hands.
Mermaids,Mom is many things... normal isn't one of them.
Unmade Beds,The private hell of four single New Yorkers made public for your viewing pleasure.
Manhunter,Enter the mind of a serial killer… you may never come back
Reversal of Fortune,
Death on the Nile,A murderer strikes on board the luxury Nile steamer Karnak-and Hercule Poirot faces his most baffling case.
DeepStar Six,
Revenge of the Nerds,The time has come for REVENGE OF THE NERDS
Revenge of the Nerds II: Nerds in Paradise,They're Back!
Longtime Companion,
4 Little Girls,On that Birmingham Sunday the blood ran like wine
River's Edge,The most controversial film you will see this year.
Girls Just Want to Have Fun,Getting into trouble is easy but getting out of it is all the fun!
The Longest Yard,It's Survival of the Fiercest and Funniest
Necessary Roughness,They just might be the biggest bunch of losers that ever became winners.
C.H.U.D.,They're not staying down there anymore!
Enemy at the Gates,Some Men Are Born To Be Heroes.
Exit Wounds,This Is Gonna Hurt
The Dish,Man's first step on the moon nearly stumbled on earth
Memento,Some memories are best forgotten.
Heartbreakers,Caution: Dangerous Curves Ahead
Say It Isn't So,
Someone Like You...,The story about the one that got away and the one she never saw coming.
Spy Kids,Real spies...only smaller
Tomcats,The Last Man Standing Gets The Kitty.
The Tailor of Panama,"In a place this treacherous, what a good spy needs is a spy of his own."
Amores perros,Love. Betrayal. Death.
Keep the River on Your Right: A Modern Cannibal Tale,
The Gleaners & I,
Along Came a Spider,The game is far from over.
Blow,Based on a True Story.
Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown
Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown
Bridget Jones's Diary,Health Warning: Adopting Bridget's lifestyle could seriously damage your health.
Joe Dirt,He Came. He Cleaned. He Conquered.
Josie and the Pussycats,"They were three small time girls, with big time dreams. Now, fate is giving the Pussycats, the chance of a lifetime."
Chopper,Never let the truth get in the way of a good yarn!
The Circle,
Crocodile Dundee in Los Angeles,He heard there was wildlife in L.A. He didn't know how wild.
Freddy Got Fingered,A touching story of a young man who desperately wants to make his daddy proud.
Scarface,The world is yours...
Days of Wine and Roses,"From the days of wine and roses, finally comes a night like this."
Driven,Get ready for the race of your life.
The Forsaken,The night... has an appetite.
One Night at McCool's,A story about finding the perfect woman... and trying desperately to give her back.
Town & Country,There's no such thing as a small affair.
The Mummy Returns,The most powerful force on earth is about to be unleashed by the two people who should know better.
Eureka,
Under the Sand,Can love vanish without a trace?
Cleopatra,The motion picture the world has been waiting for!
Krull,A world light-years beyond your imagination.
Lost in America,
The Lost World,
Triumph of the Will,
True Believer,
The World According to Garp,Robin Williams is Garp. He's got a funny way of looking at life.
Candy,She's only faithful to the book.
Fellini Satyricon,Rome. Before Christ. After Fellini.
Frankie and Johnny,
For the Boys,Laughter and tears. Tragedy and triumph. They lived it all. For the boys.
Nine to Five,Getting even is a full-time job
Norma Rae,The story of a woman with the courage to risk everything for what she believes is right.
Summer Rental,Life is a beach.
"The 5,000 Fingers of Dr. T.",The Wonder Musical of the Future!
Love Story,Love means never having to say you're sorry
Pelle the Conqueror,
Rififi,"[""Rififi""] ...means Trouble!"
A Knight's Tale,He Will Rock You
Bread and Roses,The Balance of Power Is About to Change
The King Is Alive,As the sand shifts... madness nears.
Startup.com,
Angel Eyes,"The deeper you look, the more you will find."
Shrek,The greatest fairy tale never told.
Moulin Rouge!,No Laws. No Limits. One Rule. Never Fall In Love.
Pearl Harbor,It takes a moment to change history. It takes love to change lives.
Himalaya,
Ice Castles,The story of a girl who refused to forget she was once a champion.
Love Potion No. 9,Imagine if sex appeal came in a bottle.
Postcards from the Edge,"Having a wonderful time, wish I were here."
Apache,Unconquerable!
City Slickers,Yesterday They Were Businessmen. Today They're Cowboys. Tomorrow They'll Be Walking Funny.
Eight Men Out,"When the cheering stopped, there were... Eight Men Out."
The Kentuckian,Hunter...Frontiersman...Adventurer!
Mississippi Burning,1964. When America was at war with itself.
The Magnificent Seven,They were seven - And they fought like seven hundred!
Rio Bravo,They fought back to back...No quarter given...No quarter asked...No way in...No way out...of Rio Bravo
Suspect,
Throw Momma from the Train,"Owen asked his friend, Larry, for a small favor..."
Yi Yi,
The Sand Pebbles,This is the heroic story of the men on the U.S.S. San Pablo who disturbed the sleeping dragon of savage China as the threatened world watched in breathless terror.
Twelve O'Clock High,A story of twelve men as their women never knew them...
Von Ryan's Express,
The Animal,He wasn't much of a man... Now he's not much of an animal!
Big Eden,A small miracle
Evolution,Coming to wipe that silly smile off your planet.
Swordfish,Log On. Hack In. Go Anywhere. Get Everything.
The Anniversary Party,It's not a party until something gets broken.
Divided We Fall,
Catch-22,
Forgotten Silver,
Point Break,Twenty-seven banks in three years. Anything to catch the perfect wave.
Shag,"On a summer weekend in 1963, four girlfriends made memories that would last a lifetime."
Uncommon Valor,
Unlawful Entry,"Desire, passion, lust... It's a deadly game of obsession."
Youngblood,The ice... The fire... The fight... To be the best.
Gentlemen Prefer Blondes,The Two M-M-Marvels Of Our Age In The Wonder Musical Of The World!
How to Marry a Millionaire,The Most Glamorous Entertainment Of Your Lifetime in CinemaScope. You See It Without Glasses!
The Seven Year Itch,It TICKLES and TANTALIZES! - The funniest comedy since laughter began!
There's No Business Like Show Business,
Tootsie,What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.
Atlantis: The Lost Empire,Atlantis is waiting...
Lara Croft: Tomb Raider,Born into Wealth. Groomed by the Elite. Trained for Combat.
Dr. Dolittle 2,The doctor is in again.
The Fast and the Furious,Live life 1/4 mile at a time.
A.I. Artificial Intelligence,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not."
Baby Boy,Just a Baby Boy.
Crazy/Beautiful,When it's real. When it's right. Don't let anything stand in your way.
Funny Felix,
Sexy Beast,There's a bit of the beast in all of us.
The Princess and the Warrior,Somewhere Out There You Can Find Love
The Closet,
The Crimson Rivers,Evil rises to new heights.
Lumumba,
Cats & Dogs,Things Are Gonna Get Hairy!
Kiss of the Dragon,Kiss Fear Goodbye
Scary Movie 2,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.
Lost and Delirious,Friends. Roommates. Lovers.
Baise-moi,
The Vertical Ray of the Sun,
Alice,
Beach Blanket Bingo,It's the game that separates the girls and the boys...into groups of two!
The Cannonball Run,You'll root for them all...but you'll never guess who wins.
Cannonball Run II,The popcorn's in the lobby. The nuts are on the screen.
Diary of a Chambermaid,
Donovan's Reef,Gangway...For This Years BIG Adventure!
Dr. Goldfoot and the Bikini Machine,Super sexbots... built to kill!
House of Usher,Edgar Allan Poe's demonic tale of The Ungodly... The Evil House of Usher
Faust,The Voice of the Tempter
The Last Laugh,
The Man Who Shot Liberty Valance,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford
Salvador,Based on a true story.
Shadows and Fog,
Something Wild,Something Different. Something Daring. Something Dangerous.
The Sons of Katie Elder,"From the four winds they came, the four brothers, their eyes smoking and their fingers itching..."
X: The Man with the X-Ray Eyes,"Suddenly he could see through clothes, flesh… and walls!"
Nice Dreams,The story of two enterprising young men who make an amazing amount of money selling ice cream.
The House by the Cemetery,Read the fine print. You may have just mortgaged your life.
The Barefoot Contessa,The world's most beautiful animal!
Cries and Whispers,A haunting and shattering film experience.
The Garden of the Finzi-Continis,
Kiss Me Deadly,Blood red kisses! White hot thrills! Mickey Spillane's latest H-bomb...
The Lion in Winter,The most significant reserved seat attraction of the year!
The Misfits,It shouts and sings with life ... explodes with love!
Sweet Smell of Success,The almighty J.J... the columnist with sixty million believers... his wrath is feared by the great and near great who worship the sweet smell of success!
Written on the Wind,The story of a decent love...that fought to live against the vice and immorality of an oil baron's wastrel family...and of the ugly secret that thrust their privates lives into public view!
Suspiria,The Most Frightening Film You'll Ever See!
Fist of Fury,Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!
The Big Boss,Every Limb Of His Body Is A Lethal Weapon!!!
Game of Death,Bruce Lee challenges the underworld to a Game of Death.
The Last Dragon,His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.
Outland,On Jupiter's moon something deadly is happening.
The Way of the Dragon,The Colosseum . . the battleground of Bruce Lee and Chuck Norris.
T-Rex: Back to the Cretaceous,
Final Fantasy: The Spirits Within,Unleash a new reality
Legally Blonde,Don't judge a book by its hair color!
The Score,There are no partners in crime
Bully,It's 4 a.m... do you know where your kids are?
Jump Tomorrow,
Made,Welcome to disorganized crime.
Michael Jordan to the Max,Up close some heroes get even bigger.
More,Get Happy
Africa: The Serengeti,
Alaska: Spirit of the Wild,
18 Again!,"His mind was 81. His body was 18. When Jack Watson found his fountain of youth, it overflowed with comedy."
The Accidental Tourist,
The Accused,Being a victim was her only crime.
Above the Law,He's a cop who believes no one is above the law.
The Adventures of Baron Munchausen,Remarkable. Unbelievable. Impossible. And true.
Appointment with Death,
Ariel,
Arthur 2: On the Rocks,No Money. Still Funny.
Bat*21,Trapped behind enemy lines. A whole army after him... And only one man can save him.
Beaches,Some Friendships Last Forever
The Beast of War,War brings out the beast in every man.
Big Top Pee-wee,Hero. Lover. Legend.
Biloxi Blues,The Army made Eugene a man. But Daisy gave him basic training!
Bird,
The Blob,"Scream now, while there's still room to breathe.  Terror has no shape."
"Bright Lights, Big City",
Caddyshack II,The shack is back!
Clean and Sober,Thirty remarkable days in the life of an ordinary man.
Cocktail,"When he pours, he reigns."
Colors,"70,000 gang members. One million guns. Two cops."
Coming to America,The Four Funniest Men in America are Eddie Murphy.
The Couch Trip,A comedy of truly loony proportions.
Criminal Law,
Critters,"They eat so fast, you don't have time to scream."
Critters 2,Get Ready for Seconds... They're Back
Crossing Delancey,A funny movie about getting serious.
D.O.A.,"Someone poisoned Dexter Cornell. He's got to find out who. He's got to find out why. He's got to find out now. In 24 hours, he'll be Dead On Arrival."
The Dead Pool,Dirty Harry Just Learned A New Game.
Dirty Rotten Scoundrels,Nice guys finish last. Meet the winners.
Drowning by Numbers,
"Elvira, Mistress of the Dark",Elvira makes her big screen debut in her new comedy.
Ernest Saves Christmas,A Holiday Comedy Unlike Any Other!
Everybody's All-American,Their life story is a love story
Frantic,They've taken his wife. Now he's taking action.
Gorillas in the Mist,"At the far ends of the earth she found a reason to live, and a cause to fight for."
The Great Outdoors,"The wildlife is wild, but his brother-in-law in unbearable."
High Spirits,He's an American. She's a ghost. Vacation romances are always a hassle.
Imagine: John Lennon,"Discover John...the angry youth, the musician, the radical, the husband, the father, the lover, the idealist...through his own words and personal collection of film and music."
Johnny Be Good,Every college in the country wants Johnny. 'Cause when he's good he's very very good. And when he's bad he's better.
The Lair of the White Worm,
The Land Before Time,A new adventure is born.
License to Drive,Some guys get all the brakes!
Little Nikita,He went to bed an all-American kid and woke up the son of Russian spies.
Masquerade,
The Milagro Beanfield War,
Moon Over Parador,
My Stepmother is an Alien,Man's closest encounter.
A Night in the Life of Jimmy Reardon,"He's got 24 hours to convince the one girl he really loves that he's honest, faithful, and fully committed. It's going to be a long night."
Off Limits,"Being a cop is tough. But in Saigon, 1968, being a cop is crazy."
Bagdad Cafe,Off Route 66 between Vegas and nowhere a little magic's going on...
Red Heat,Moscow's toughest detective. Chicago's craziest cop. There's only one thing worse than making them mad. Making them partners.
Return of the Living Dead Part II,Just when you thought it was safe to be dead.
The Return of the Living Dead,They're Back From The Grave and Ready To Party!
Return to Snowy River,The man is back!
The Man from Snowy River,The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.
Running on Empty,
Salome's Last Dance,"NOTORIOUS, SCANDALOUS, WILDE!"
Salsa,The Dirtiest Dancing Of Them All!
The Serpent and the Rainbow,Don't bury me...I'm not dead!
Shoot to Kill,It's about staying alive.
Short Circuit 2,The adventures of America's most electric leading man continue.
Short Circuit,Something wonderful has happened... No. 5 is alive!
The Vanishing,Who Has Seen This Woman?
Switching Channels,"There's a lot more going on around here than news, weather, and sports."
Tetsuo: The Iron Man,
They Live,Who are they? And what do they want?
Torch Song Trilogy,
Tucker: The Man and His Dream,"When they tried to buy him, he refused. When they tried to bully him, he resisted. When they tried to break him, he became an American legend. The true story of Preston Tucker."
Twins,Only their mother can tell them apart.
Vice Versa,"Just when he was ready for mid-life crisis, something unexpected came up. Puberty."
Watchers,It started as a secret experiment... It ended up as a new breed of terror.
Waxwork,Stop on by and give afterlife a try.
Without a Clue,The flip side of Sherlock Holmes
Young Einstein,E=mc²
Always,They couldn't hear him. They couldn't see him. But he was there when they needed him... Even after he was gone.
American Ninja,
American Ninja 2: The Confrontation,
American Ninja 3: Blood Hunt,
Best of the Best 2,Get ready for the ultimate challenge!
The Big Picture,Film school prepared Nick for everything... everything but Hollywood.
Bill & Ted's Excellent Adventure,History is about to be rewritten by two guys who can't spell.
Black Rain,Their country. Their laws. Their game. His rules.
Blaze,"A governor. A stripper. Forced to chose between the office he held and the woman he loved, he chose both."
Casualties of War,Even in war... murder is murder.
Chances Are,
Dream a Little Dream,With dreams like these who needs reality?
The Dream Team,Four guys on a field trip to reality.
Earth Girls Are Easy,Valerie's about to discover how far a girl has to go to find Mr. Right.
Eddie and the Cruisers,Rebel. Rocker. Lover. Idol. Vanished.
Enemies: A Love Story,
Erik the Viking,
The Experts,
Family Business,
Gross Anatomy,It's the toughest course in medical school.
Harlem Nights,They're up to something big.
Her Alibi,
How to Get Ahead in Advertising,
Immediate Family,The toughest choices are made with the heart.
An Innocent Man,
The January Man,Catching a serial killer takes a seriously twisted cop.
Jesus of Montreal,
Kickboxer,An Ancient Sport Becomes A Deadly Game.
Last Exit to Brooklyn,The Novel That Shocked The World Is Now A Movie
Lean On Me,Eastside High was out of control...until Joe Clark took it back.
Let It Ride,He drinks. He smokes. He gambles. He curses. He thinks about committing adultery. You'll love him.
Leviathan,The true meaning of fear
Little Monsters,Some friends can be REAL MONSTERS. And some monsters can be REAL FRIENDS.
Look Who's Talking,"He's hip, he's cool, and he's only 3 months old."
Loverboy,Randy Bodek has no idea how to treat a woman . . . but he's working on it.
Major League,A comedy with bats and balls.
Meet the Feebles,Hell hath no fury like a hippo with a machine gun.
Millennium,Beyond the boundaries of time... they are waiting for you!
Miracle Mile,There are 70 minutes to the end of the world. Where can you hide?
Miss Firecracker,An explosive comedy!
New York Stories,"One city, three stories tall."
Next of Kin,A Chicago cop from the hills of Kentucky. Hunting his brother's killer. Seeking justice country style.
No Holds Barred,No Ring. No Ref. No Rules.
The Package,He's one man racing against time to stop the most explosive conspiracy in history.
Penn & Teller Get Killed,What more do you want?
The Punisher,
Jurassic Park III,"This time, it's not just a walk in the park!"
America's Sweethearts,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.
Brother,Are You Japanese?
Ghost World,Accentuate the negative.
Hedwig and the Angry Inch,An anatomically incorrect rock odyssey
Planet of the Apes,You'll be sorry you were ever born human
Bread and Tulips,
Cure,Madness. Terror. Murder.
Wet Hot American Summer,High Times. Hard Bodies. Soft Rock.
The Return of Swamp Thing,Why can't men be more like plants?
Road House,"Dalton lives like a loner, fights like a professional. And loves like there's no tomorrow."
Romero,"In defense of the poor in El Salvador, he fought with the only weapon he had... the truth."
Santa Sangre,Forget Everything You Have Ever Seen.
Scandal,The story that seduced the world is now the most controversial film of the year.
Scenes from the Class Struggle in Beverly Hills,
Sea of Love,Deception is dangerous. Desire is deadly.
"See No Evil, Hear No Evil",MURDER! The blind guy couldn't see it. The deaf guy couldn't hear it. Now they're both wanted for it.
She's Out of Control,"Girls go wild, boys go crazy, and dads go nuts!"
Shirley Valentine,"No one thought she had the courage, the nerve, or the lingerie."
Skin Deep,The comedy that glows in the dark.
Slaves of New York,
The Stepfather,He wanted a perfect family in a perfect town. But they couldn't measure up... Neither could the others...
Tango & Cash,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.
Tap,"Sometimes, no matter what, you can't escape the rhythm."
Three Fugitives,They rob banks. She steals hearts.
Troop Beverly Hills,"When the going gets tough, the tough go shopping!"
Turner & Hooch,The Oddest Couple Ever Unleashed!
UHF,"A lot of TV stations have forgotten what ""quality"" means, but not Channel 62. They NEVER knew what it meant."
Uncle Buck,He's crude. He's crass. He's family.
Vampire's Kiss,Seduction. Romance. Murder. The things one does for love.
The War of the Roses,Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.
Warlock,Satan also has one son.
Worth Winning,An engaging comedy about a bachelor and three near Mrs.
Weekend at Bernie's II,You don't have to stop partying just because you've stopped breathing.
Billy Liar,
Black Robe,"In the winter of 1634, an extraordinary man began a perilous journey into the North American wilderness."
The Cotton Club,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.
Def-Con 4,The last defense. The last hope. The battle for the future of the world has begun.
The Hotel New Hampshire,"If you experienced ""The World According To Garp"" and found it witty, delightful and totally unpredictable, then be happily surprised all over again when you join the fun and games that go on at the...Hotel New Hampshire."
"Zorro, The Gay Blade","Zexy, Zany, Zensational !"
Basket Case,"The tenant in room 7 is very small, very twisted and very mad."
Orphans,Are YOUR parents a burden?
Original Sin,This is not a love story - it's a story about love.
The Princess Diaries,She rocks. She rules. She reigns.
Rush Hour 2,Get ready for a second Rush!
Chocolat,
Hatari!,Hatari means Fun! Hatari means Adventure! Hatari means Thrills!
La Cage aux folles,
La Cage aux folles II,
Paint Your Wagon,Stake Your Claim To The Musical Goldmine of '69!
The Shootist,He's got to face a gunfight once more to live up to his legend once more. To win just one more time.
Theremin: An Electronic Odyssey,
The Wild Child,At last an adult film to which you can take your children.
Altered States,When he heard his cry for help it wasn't human
Any Which Way You Can,"Faster, funnier and wilder. It'll knock you out."
Bad Timing,His terrifying obsession took them to the brink of death and beyond.
The Big Brawl,Where the only rule is to stay alive.
American Pie 2,This Summer It's All About Sticking Together.
Osmosis Jones,Every BODY needs a hero
The Others,"Sooner or later she'll see them, then everything will be different."
American Outlaws,Sometimes the wrong side of the law is the right place to be.
All Over the Guy,"4 friends, 2 couples. Twice as much to lie about in the morning."
The Deep End,
On the Edge,"A joyride through sex, love, and other activities"
Session 9,Fear is a place.
Captain Corelli's Mandolin,
Rat Race,563 miles. 9 people. $2 million. 1001 problems!
Innocence,"Remember to love, surrender to love, and vow to never, never forget"
Bubble Boy,Life is an adventure. Don't blow it.
The Curse of the Jade Scorpion,Love stings
Jay and Silent Bob Strike Back,Hollywood had it coming
Ghosts of Mars,Terror is the same on any planet.
Summer Catch,Are you game?
An American Rhapsody,"One family struggles for survival, for justice, for freedom."
Happy Accidents,Sometimes the future is better than it used to be.
Maybe Baby,
Together,
Tortilla Soup,A comedy to arouse your appetite.
Jeepers Creepers,What’s eating you?
O,Trust. Seduction. Betrayal.
3 Ninjas,Crosses Teenage Mutant Ninja Turtles and Home Alone!
3 Ninjas Kick Back,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure"
3 Ninjas Knuckle Up,"Tum Tum, Colt and Rocky are back for all new non-stop Ninja action!"
The Hunter,He's not as fast as he used to be... That's what makes him human. He's a bounty hunter... And that's what makes him dangerous.
Maniac,I warned you not to go out tonight.
Vamp,A Frightening Comedy
The Wicker Man,Flesh to touch... Flesh to burn! Don't keep the Wicker Man waiting!
Wish Upon a Star,"I Wish I May, I Wish I Might, Become My Sister For A Night!"
The Musketeer,As you've never seen it before.
Rock Star,The story of a wanna be who got to be.
Diamond Men,
The Iron Ladies,
L.I.E.,"On the Long Island Expressway there are lanes going east, lanes going west, and lanes going straight to hell."
Our Lady of the Assassins,
Abbott and Costello Meet the Mummy,They're back -- in their mummy's arms!
"Dr. Mabuse, the Gambler",
Into the Arms of Strangers: Stories of the Kindertransport,"In the nine months prior to World War II, 10,000 innocent children left behind their families, their homes, their childhood, and took the journey..."
The Glass House,The glass is about to be shattered...
Hardball,The most important thing in life is showing up
Dinner Rush,
Big Trouble,They have forty-five minutes to save the world. They need forty-six.
Glitter,"In music she found her dream, her love, herself."
Training Day,"The only thing more dangerous than the line being crossed, is the cop who will cross it."
Sidewalks of New York,"In a city of 8 million people, what are the odds the perfect two will meet?"
The Endurance: Shackleton's Legendary Antarctic Expedition,
The French Lieutenant's Woman,She was lost from the moment she saw him.
Little Man Tate,It's not what he knows. It's what he understands.
Phantom of the Paradise,The Most Highly Acclaimed Horror Phantasy Of Our Time.
13 Ghosts,IT'S FUN TO BE SCARED BY 13 GHOSTS
Father Goose,
The Grass Is Greener,Ever See a Four-Sided Triangle?
Indiscreet,How dare he make love to me - And not be a married man!
"It's a Mad, Mad, Mad, Mad World",The biggest entertainment ever to rock the screen with laughter!
King Solomon's Mines,
The Little Foxes,"...the film version of the stage hit, as the ruthless beauty whose ambition spelt the doom of three men"
Operation Petticoat,"20,000 Laughs Under The Sea!"
Play Misty for Me,The scream you hear may be your own!
Pocketful of Miracles,You have to see it to believe it!
The Shop on Main Street,
Silkwood,"On November 13, 1974, Karen Silkwood, an employee of a nuclear facility, left to meet with a reporter from the New York Times. She never got there."
I Never Promised You a Rose Garden,
Quadrophenia,A Way of Life
SpaceCamp,The stars belong to a new generation.
Don't Say a Word,...I'll never tell.
Hearts in Atlantis,What if one of life's great mysteries moved in upstairs?
Zoolander,3% Body Fat. 1% Brain Activity.
Extreme Days,Life's a trip......
Joy Ride,"It was just a joke, just for fun."
Max Keeble's Big Move,His World. His Rules.
Serendipity,Sometimes True Love Can Have More Than One Face.
The Big Red One,"Only chance could have thrown them together. Now, nothing can pull them apart."
Brubaker,One man against a cruel system.
Can't Stop the Music,The Musical Comedy Smash of the 80's!
Carny,When you're young and going nowhere... the Carny looks like a good way out.
The Changeling,...an experience beyond total fear.
Cheech & Chong's Next Movie,Just what we all need! A really good hit!
Coal Miner's Daughter,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.
The Competition,If you're really in love... nothing's going to stand in your way
Cruising,Al Pacino is Cruising for a killer.
The Last Metro,A story of love and conflict.
The Dogs of War,
Bandits,"Two's company, three's a crime."
Iron Monkey,Unmask the legend
Mulholland Drive,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.
My First Mister,Mismatched. Misguided. Unmistakably friends.
Things Behind the Sun,
Clambake,It's Elvis!..cooking up a storm!
Dirty Harry,Detective Harry Callahan. He doesn't break murder cases. He smashes them.
Fiddler on the Roof,To Life!
Kansas,"In a life of crime, no one can be trusted... Not even your friend."
Mission to Mir,
Not Without My Daughter,"In 1984, Betty Mahmoody's husband took his wife and daughter to meet his family in Iran. He swore they would be safe. They would be happy. They would be free to leave. He lied."
Female Trouble,Nice girls don't wear cha-cha heels.
From Hell,Only the legend will survive.
The Last Castle,A Castle Can Only Have One King
Riding in Cars with Boys,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.
Waking Life,Dreams. What are they? An escape from reality or reality itself?
K-PAX,Change the way you look at the world.
On the Line,
Thir13en Ghosts,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions..."
Donnie Darko,You can never go too far
Life as a House,"Seen from a distance, it's perfect."
The Man Who Wasn't There,
Domestic Disturbance,He will do anything to protect his family.
"Monsters, Inc.",We Scare Because We Care.
The One,Stealing the power of the universes one by one.
Tape,Some things can't be erased.
Heist,It isn't love that makes the world go round.
Shallow Hal,Are You A Shallow Guy?
When a Stranger Calls,...Fear is the Message!
The Wash,"When you're down 'n dirty, it all comes out in..."
Harry Potter and the Philosopher's Stone,Let the Magic Begin.
The Fluffer,Love is hard.
Novocaine,
Black Knight,It's only a flesh wound!
Spy Game,It's not how you play the game. It's how the game plays you.
The Devil's Backbone,The living will always be more dangerous than the dead.
In the Bedroom,A young man. An older woman. Her ex-husband. Things are about to explode...
Jabberwocky,Jabberwocky: the monster so horrible that people caught the plague to avoid it
Funny Girl,People who see FUNNY GIRL are the luckiest people in the world!
Breathless,The film that was banned for 4 years. Why..?
The Beastmaster,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god."
"Now, Voyager",Today Her Greatest! For a woman there's always an excuse…
Little Women,
Guadalcanal Diary,
The Cheap Detective,Who dunnit? This time it's Neil Simon who's really dunnit.
The Last Wave,Hasn't the weather been strange...could it be a warning?
That Obscure Object of Desire,Luis Buñuel's masterpiece
The Toy,"When U. S. Bates told his son he could have any present he wanted, he picked the most outrageous gift of all... Jack Brown."
Funeral in Berlin,
Dressed to Kill,The Latest Fashion In Murder
The Earthling,
Fame,"If they've really got what it takes, it's going to take everything they've got."
Flash Gordon,He'll save every one of us!
The Enforcer,The dirtiest Harry of them all.
The Gauntlet,Clint Eastwood is the man in the middle of The Gauntlet
I Bury the Living,Out of a Time-Rotted Tomb Crawls an Unspeakable Horror!
Invasion U.S.A.,America wasn't ready...but HE was!
Lord of the Flies,No parents. No teachers. No rules... No mercy.
Morons from Outer Space,
Ocean's Eleven,In any other town they'd be the bad guys...
The Stunt Man,"""If God could do the things that we can do, he'd be a happy man . . ."""
Sudden Impact,Dirty Harry is at it again
Behind Enemy Lines,His only weapon is his will to survive.
The Independent,Morty Fineman. Artist. Visionary. Madman.
Porn Star: The Legend of Ron Jeremy,The Hardest Working Man in Show Business
Ocean's Eleven,Are you in or out?
Baran,
The Business of Strangers,
No Man's Land,
Piñero,
And Then There Were None,
The Blue Angel,
Moscow on the Hudson,"Vladimir Ivanoff walks into a department store to buy blue jeans, walks out with a girl friend, an immigration lawyer and a buddy. His life and theirs will never be the same again."
The Owl and the Pussycat,it's no longer a story for children.
Amélie,One person can change your life forever.
Not Another Teen Movie,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.
Vanilla Sky,"Forget everything you know, and open your eyes."
Iris,
Kandahar,
Lantana,Sometimes love isn't enough.
The Royal Tenenbaums,"Family isn’t a word, it’s a sentence."
Bill & Ted's Bogus Journey,Once... they made history. Now... they are history.
Clockwise,Mr. Stimpson ran his life and everyone else's by the clock. Then one day at 2:09 and 43 seconds... The clock decided to strike back.
Morgan: A Suitable Case for Treatment,
Spacehunter: Adventures in the Forbidden Zone,"Journey with Wolff and Niki, an interstellar adventurer and young rebel. On a mission to rescue three stranded women from a planet no one has warned them about. Because no one has ever returned."
White Water Summer,
How High,They've got their degrees all rolled up.
Jimmy Neutron: Boy Genius,"He may be small, but he's got a big brain!"
Kate & Leopold,If they lived in the same century they'd be perfect for each other.
The Lord of the Rings: The Fellowship of the Ring,One ring to rule them all
The Majestic,Sometimes your life comes into focus one frame at a time.
A Beautiful Mind,I need to believe that something extra ordinary is possible...
Little Otik,
The Defiant Ones,One of the great ones!
Dodsworth,Here is a picture that was marked for greatness before it was ever screened!
Medium Cool,Beyond the age of innocence... into the age of awareness
Sahara,Their dramatic story can now be told!
Fritz the Cat,"We're not rated X for nothin', baby!"
The Nine Lives of Fritz the Cat,
The Party,If you've ever been to a wilder party... you're under arrest!
Witness for the Prosecution,The most electrifying entertainment of our time!
Ali,Float like a butterfly and sting like a bee.
Black Hawk Down,Leave No Man Behind.
Yentl,
Gosford Park,Tea at four. Dinner at eight. Murder at midnight.
I Am Sam,love is all you need
Monster's Ball,A lifetime of change can happen in a single moment.
The Shipping News,You'll never guess what you'll find inside...
The Big Heat,A hard cop and a soft dame.
Motorama,There's only one way to win the girl of your dreams: floor it!
Murder by Death,By the time the world's greatest detectives figure out whodunnit... you could die
The Servant,
The Waterdance,"Sometimes, life happens by accident."
Orange County,It's not just a place. It's a state of mind.
Brotherhood of the Wolf,
Another 48 Hrs.,The boys are back in town.
What Time Is It There?,
The Russia House,
Truly Madly Deeply,BE CAREFUL WHAT YOU WISH FOR... IT JUST MIGHT COME TRUE.
The Flight of Dragons,"A wondrous tale of action and suspense, damsels and ogres, dungeons and dragons, questing knights and evil warlocks."
Dragonslayer,"In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real."
